timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
54028000,-0.0035888,0.0360463,-0.00796503,4000,0,0.00143555,0.00411263,-10.298,4000
54032000,0.000242098,0.0325395,-0.00167757,4000,0,0.00742984,0.0297328,-10.2662,4000
54036000,0.0144323,0.0341093,-0.00380251,4000,0,-0.00944629,0.0575706,-10.2418,4000
54040000,0.031781,0.0482714,0.000474791,4000,0,-0.0383152,-0.0102314,-10.2493,4000
54044000,0.0172629,0.0471345,0.00884378,4000,0,-0.0264605,-0.0301387,-10.2145,4000
54048000,0.00174253,0.050098,0.00145641,4000,0,-0.0294255,-0.0146517,-10.198,4000
54052000,0.00719301,0.0812696,-0.00699417,4000,0,0.00110505,-0.00162574,-10.1871,4000
54056000,0.016232,0.109481,-0.00772995,4000,0,-0.0043269,0.0159533,-10.146,4000
54064000,0.0041695,0.17632,0.00484712,4000,0,0.0914097,0.0254976,-10.1841,4000
54072000,0.00142564,0.230724,0.00477925,4000,0,0.113981,-0.0196984,-10.1398,4000
54080000,0.0202299,0.28617,-0.013566,4000,0,0.000855101,-0.000858893,-10.0637,4000
54084000,0.0245251,0.289693,-0.0174136,4000,0,-0.0327553,-0.0174727,-10.0535,4000
54092000,0.0102351,0.283733,-0.0195887,4000,0,0.0245655,0.027468,-10.1068,4000
54096000,0.0123979,0.289609,-0.0126923,4000,0,0.012777,0.048688,-10.0885,4000
54100000,0.014534,0.301634,-0.000528625,4000,0,0.0143116,0.0650746,-10.0491,4000
54104000,0.0111128,0.339235,-0.00527247,4000,0,0.0219657,0.0342361,-10.0519,4000
54108000,-0.00836753,0.37869,0.00235842,4000,0,0.0367882,-0.000984914,-10.069,4000
54112000,-0.00017527,0.408595,0.0108301,4000,0,-0.03293,0.0876592,-10.1329,4000
54120000,-0.00613907,0.457265,-9.20202e-05,4000,0,-0.0283112,-0.0142794,-10.093,4000
54128000,0.000158204,0.479795,-0.0083967,4000,0,0.00678658,0.00851496,-10.1371,4000
54132000,0.00093789,0.48129,-0.00917026,4000,0,0.0479891,0.0120305,-10.1706,4000
54140000,-0.00212635,0.472265,-0.0119978,4000,0,-0.000945896,0.0409086,-10.1191,4000
54144000,-0.00484911,0.463726,-0.0123377,4000,0,-0.0354645,-0.0259765,-10.1734,4000
54148000,-0.00565062,0.469542,0.00296638,4000,0,-0.0244557,-0.0460661,-10.1292,4000
54152000,-0.0122107,0.498898,0.00643397,4000,0,-0.0196476,-0.0311752,-10.0535,4000
54156000,-0.0129801,0.522363,0.0104174,4000,0,0.0259031,-0.0573168,-10.1176,4000
54160000,-0.0161701,0.560842,0.0146123,4000,0,0.010588,-0.0427391,-10.0749,4000
54164000,-0.0208244,0.592247,0.00577478,4000,0,0.00978234,0.0045261,-10.056,4000
54168000,-0.0151023,0.60157,-0.00338405,4000,0,0.000686888,-0.00766667,-10.1386,4000
54172000,0.00245237,0.610882,-0.001705,4000,0,-0.0783429,-0.00675692,-10.1481,4000
54180000,0.00458186,0.579718,-0.00914084,4000,0,0.00581957,0.010694,-10.101,4000
54184000,0.00182965,0.573794,-0.00256893,4000,0,0.0367643,-0.00307033,-10.1434,4000
54188000,-0.00553291,0.568071,0.0151986,4000,0,0.0272749,-0.0238963,-10.1775,4000
54196000,-0.0162062,0.589431,0.0059291,4000,0,0.0231448,0.00873513,-10.093,4000
54200000,-0.00677222,0.621549,0.00533315,4000,0,0.0137492,0.0199041,-10.0777,4000
54204000,-0.00527445,0.630892,0.000993212,4000,0,0.0316371,0.0251228,-10.1439,4000
54208000,-0.0148566,0.629495,-0.00882074,4000,0,0.0589533,0.0222323,-10.1615,4000
54216000,-0.00461498,0.622375,0.00117903,4000,0,-0.00587528,0.0197565,-10.1311,4000
54220000,-0.0115406,0.6122,-0.00844713,4000,0,0.0621571,0.00638383,-10.0764,4000
54224000,-0.00412954,0.605606,-0.00644676,4000,0,0.0535652,-0.0311549,-10.0279,4000
54228000,-0.00270355,0.614657,0.00247315,4000,0,0.0233921,-0.00143002,-10.019,4000
54236000,-0.0106934,0.65018,0.009734,4000,0,0.081702,-0.0357058,-10.1128,4000
54244000,-0.000657535,0.668754,-0.00483132,4000,0,0.0347653,-0.0199575,-10.0641,4000
54248000,-0.00295973,0.659129,-0.0100438,4000,0,0.035548,-0.0459434,-10.0438,4000
54252000,-0.0165315,0.649588,-0.000416556,4000,0,-0.00287192,0.0412851,-10.08,4000
54260000,-0.0159511,0.613619,-0.00278255,4000,0,-0.0120488,-0.0314714,-10.0058,4000
54264000,-0.0113905,0.601107,0.000174958,4000,0,0.00322463,-0.0483613,-10.0272,4000
54268000,-0.00943479,0.591383,0.0124715,4000,0,0.0309778,0.0133857,-10.0574,4000
54272000,-0.0113171,0.604021,0.00408921,4000,0,0.00104938,0.0119317,-10.0778,4000
54276000,-0.0123618,0.624146,0.000347311,4000,0,-0.0189481,-0.0123206,-10.0295,4000
54284000,-0.0148668,0.652393,-0.00126066,4000,0,0.0458227,-0.0290943,-10.0443,4000
54288000,0.00360449,0.665656,0.00418276,4000,0,0.112965,-0.0914546,-10.0132,4000
54292000,0.000389724,0.664428,0.00324328,4000,0,0.0958988,-0.0399286,-9.99808,4000
54296000,-0.0120943,0.65323,0.000417699,4000,0,-0.00194249,0.0520999,-10.0117,4000
54300000,0.00159031,0.639377,-0.00790903,4000,0,0.0361463,-0.0278551,-10.1113,4000
54304000,-0.00504828,0.620049,-0.00529055,4000,0,0.0308086,-0.101658,-10.0749,4000
54308000,-0.0150164,0.584263,-0.00517564,4000,0,-0.021448,-0.0733283,-9.98396,4000
54316000,-0.0247696,0.554798,0.000450503,4000,0,-0.0385465,0.000187951,-10.086,4000
54320000,-0.0102131,0.549382,0.00348541,4000,0,-0.0414715,-0.0133787,-10.003,4000
54328000,-0.00331521,0.572339,0.00286739,4000,0,-0.0211909,-0.0781441,-10.0554,4000
54336000,-0.00558269,0.603081,0.0010932,4000,0,0.00287626,-0.0466677,-9.96375,4000
54340000,-0.00177096,0.606313,-0.00332276,4000,0,-0.0317731,-0.0927073,-9.97998,4000
54344000,0.00785394,0.593726,-0.00204169,4000,0,0.0260966,-0.0180032,-10.0415,4000
54348000,0.000373386,0.586417,0.0016397,4000,0,0.0772425,0.0314342,-9.97152,4000
54352000,0.00294999,0.577676,-0.00382029,4000,0,0.0897668,-0.0310904,-9.93503,4000
54356000,0.00235967,0.549874,-0.00245374,4000,0,0.0512954,-0.0263701,-9.94805,4000
54360000,-0.00532435,0.523722,0.0064214,4000,0,0.0367047,-0.0224095,-9.9564,4000
54364000,-0.0100984,0.513166,0.0156459,4000,0,0.0339683,-0.0134288,-9.9744,4000
54368000,-0.0117206,0.499622,0.0131137,4000,0,0.0274706,0.0172751,-9.97055,4000
54372000,-0.0129215,0.514007,0.00388076,4000,0,0.0580869,-0.0134172,-9.99981,4000
54380000,-0.0053547,0.513228,0.000686478,4000,0,0.0131514,-0.0390547,-10.0247,4000
54384000,-0.00966949,0.527915,-0.00937315,4000,0,0.010331,0.018366,-9.96345,4000
54388000,-0.000692751,0.541189,-0.00389175,4000,0,-0.00128149,0.038198,-9.95936,4000
54392000,0.0164064,0.539298,-0.00616894,4000,0,0.0144152,-0.00427522,-9.96605,4000
54396000,0.0126605,0.523032,-0.000417564,4000,0,0.000554801,0.0597262,-9.89455,4000
54400000,0.0125988,0.515603,0.00093768,4000,0,0.0271455,0.0334881,-9.92089,4000
54404000,0.0103084,0.50236,-0.00525587,4000,0,0.0643579,0.00311288,-9.96902,4000
54408000,-0.00605203,0.475722,0.00205938,4000,0,0.0720935,0.0125523,-9.97566,4000
54412000,-0.0090238,0.452769,-0.0070327,4000,0,0.0396625,0.0421629,-9.99941,4000
54420000,0.00229064,0.449949,0.0052071,4000,0,0.026406,-0.0162183,-9.97228,4000
54424000,-0.0102723,0.451426,0.0217945,4000,0,-0.00889174,-0.0104002,-10.0373,4000
54428000,-0.012297,0.465403,0.0283157,4000,0,0.00610472,-0.010464,-9.97679,4000
54432000,-0.00477102,0.471754,0.0106541,4000,0,0.030499,-0.0185802,-9.97239,4000
54436000,0.00494545,0.473816,0.00830524,4000,0,0.0350155,-0.0437004,-9.99431,4000
54440000,0.00379644,0.466754,0.0142163,4000,0,-0.00338775,-0.0609415,-9.93696,4000
54444000,0.00101865,0.454951,0.00217519,4000,0,-0.00528881,-0.0772718,-9.92944,4000
54448000,-0.0042204,0.451212,0.000311532,4000,0,-0.00267687,-0.0472885,-9.94048,4000
54452000,0.00258112,0.419219,0.00998204,4000,0,-0.00939253,0.0176145,-9.9446,4000
54456000,0.00965561,0.403971,0.00324821,4000,0,0.0288375,0.0182363,-9.96103,4000
54460000,-0.0126719,0.410398,-0.00708158,4000,0,0.0544743,0.00224806,-9.91753,4000
54464000,-0.0165426,0.401191,-0.0114386,4000,0,0.0212993,0.0242888,-9.88203,4000
54468000,-0.0115855,0.401685,-0.000618567,4000,0,-0.0167207,0.0435834,-9.88977,4000
54472000,-0.020972,0.398609,0.00711171,4000,0,0.02101,0.0653508,-9.89939,4000
54476000,-0.0224275,0.396554,0.0015231,4000,0,0.073705,0.0782459,-9.90191,4000
54480000,-0.0105237,0.394908,-0.00135809,4000,0,0.0616484,-0.0115825,-9.90127,4000
54484000,0.00736023,0.400995,0.00302905,4000,0,0.0409597,-0.0376792,-9.87563,4000
54488000,0.00911709,0.399469,0.0131219,4000,0,0.0400941,-0.00204683,-9.82351,4000
54492000,0.00384624,0.37832,0.000874,4000,0,0.0613401,-0.0359318,-9.8444,4000
54496000,0.00619089,0.370073,-0.0143259,4000,0,0.0191779,0.00373125,-9.85322,4000
54500000,0.00195929,0.368324,-0.00533727,4000,0,-0.0198635,-0.00016528,-9.83922,4000
54504000,0.00349164,0.359303,0.00104727,4000,0,0.00884084,-0.0422527,-9.89087,4000
54508000,0.00265109,0.359463,0.00256594,4000,0,0.0473635,0.00370128,-9.91724,4000
54512000,-0.0108306,0.357697,0.00677748,4000,0,0.0598956,-0.00967742,-9.8596,4000
54520000,-0.0149118,0.366558,0.0152349,4000,0,0.0324434,-0.00033922,-9.96599,4000
54524000,0.000528382,0.358669,0.0145069,4000,0,0.00364992,0.00784495,-9.9606,4000
54528000,0.00260297,0.364281,-0.000871815,4000,0,-0.061835,0.0341625,-9.90625,4000
54532000,0.000464181,0.354806,-0.0037642,4000,0,-0.0366545,0.00456058,-9.89594,4000
54536000,0.0018119,0.342406,-0.00192249,4000,0,0.00797417,-0.000174879,-9.88463,4000
54544000,0.00151288,0.317153,-0.00787846,4000,0,0.038269,-0.0338211,-9.87904,4000
54548000,-0.00461769,0.309576,-0.00626393,4000,0,0.0352432,-0.0372546,-9.82766,4000
54552000,-0.007717,0.309839,0.00256603,4000,0,-0.0145275,0.0285806,-9.88563,4000
54556000,-0.0128297,0.314919,0.00842584,4000,0,-0.0231676,0.0293555,-9.90859,4000
54564000,-0.0111221,0.31871,0.00092879,4000,0,0.0238496,-0.00593177,-9.83137,4000
54568000,-0.00670743,0.322964,0.000666688,4000,0,-0.0464372,0.0364906,-9.87219,4000
