timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
79628000,6,1497.8,1491.15,1484.95,1485.93,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79728000,6,1493.15,1484.98,1500.56,1480.96,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79828000,6,1489.62,1487.44,1493.71,1486.98,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79928000,6,1485.87,1487.03,1493.19,1494.1,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80028000,6,1493.05,1483.61,1494.59,1491.29,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80128000,6,1491.48,1478.06,1505.85,1486.67,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80232000,6,1493.11,1471.29,1502.02,1490.13,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80328000,6,1492.78,1484.26,1488.8,1489.9,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80428000,6,1481.29,1493.8,1497.59,1485.23,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80532000,6,1489.76,1486.04,1485.73,1497.53,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80628000,6,1491.68,1488.75,1492.44,1487.64,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80728000,6,1492.91,1489.84,1495.55,1482.48,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80828000,6,1520.81,1471.86,1517.64,1481.83,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80928000,6,1491.81,1517.96,1499.25,1517.56,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81028000,6,1499.43,1522.64,1506.26,1518.13,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81128000,6,1531.53,1516.06,1535.21,1513.28,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81228000,6,1547.16,1521.82,1545.26,1529.64,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81328000,6,1559.73,1530.7,1559.53,1533.87,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81432000,6,1546.14,1554.6,1538.57,1552.71,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81532000,6,1528.8,1579.38,1521.53,1580.45,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81628000,6,1540.05,1568.98,1537.55,1568.42,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81728000,6,1569.35,1552.55,1571.37,1551.49,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81832000,6,1552.17,1562.64,1541.48,1574.21,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81928000,6,1553.95,1563.26,1550.37,1564.05,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82028000,6,1558.81,1565.92,1549.48,1570.94,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82128000,6,1557.87,1573.61,1555.66,1568.13,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82228000,6,1549.98,1583.53,1548.99,1575.13,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82328000,6,1570.26,1561.02,1571.28,1562.45,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82428000,6,1586.62,1563.81,1591.45,1561.09,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82528000,6,1572.4,1576.05,1564.57,1571.31,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82628000,6,1569.8,1576.85,1567.35,1579.4,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82728000,6,1562.75,1594.19,1563.6,1584.81,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82828000,6,1524.75,1577.15,1509.01,1577.61,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82928000,6,1539.15,1554.49,1525.77,1551.3,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83028000,6,1554.18,1521.0,1541.5,1523.42,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83128000,6,1534.62,1506.72,1526.78,1506.59,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83228000,6,1514.74,1498.32,1522.85,1497.24,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83328000,6,1505.35,1501.34,1500.74,1504.32,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83428000,6,1506.73,1498.04,1508.42,1487.67,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83528000,6,1502.44,1492.26,1507.65,1494.14,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83628000,6,1501.16,1492.61,1500.36,1499.51,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83728000,6,1503.44,1491.4,1494.35,1503.53,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83828000,6,1504.53,1492.57,1498.16,1495.3,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83928000,6,1493.7,1498.61,1500.71,1499.21,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
84028000,6,1503.46,1495.11,1509.45,1485.9,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
