timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
96792000,-0.0396607,-0.00614797,-0.0161881,0.110368,0.00728675,0.0589838,0.992112,0.0,0.0,0.0,0.0,0
96800000,-0.0359538,-0.00402323,-0.0168136,0.110435,0.00728752,0.0588265,0.992114,0.0,0.0,0.0,0.0,0
96816000,-0.0347433,-0.0110803,-0.0172111,0.110575,0.0072906,0.0585415,0.992115,0.0,0.0,0.0,0.0,0
96824000,-0.040422,-0.0158306,-0.0173334,0.110647,0.00732042,0.0583928,0.992116,0.0,0.0,0.0,0.0,0
96840000,-0.0337868,-0.0300127,-0.0177671,0.110797,0.00743772,0.0580367,0.992119,0.0,0.0,0.0,0.0,0
96848000,-0.0192134,-0.0274491,-0.0178136,0.110876,0.00754144,0.0579049,0.992117,0.0,0.0,0.0,0.0,0
96864000,-0.0198783,-0.0210572,-0.0180014,0.111031,0.00769481,0.0577578,0.992107,0.0,0.0,0.0,0.0,0
96872000,-0.0198612,-0.0364556,-0.0181592,0.111109,0.00778178,0.0576668,0.992103,0.0,0.0,0.0,0.0,0
96888000,-0.0118878,-0.0319848,-0.0183603,0.111273,0.00806798,0.0574952,0.992092,0.0,0.0,0.0,0.0,0
96896000,-0.0100774,-0.0228393,-0.0186188,0.111353,0.00817258,0.05744,0.992086,0.0,0.0,0.0,0.0,0
96912000,-0.012551,-0.0321835,-0.0184986,0.111512,0.00834025,0.0573314,0.992073,0.0,0.0,0.0,0.0,0
96920000,-0.0101202,-0.0486501,-0.0180305,0.111593,0.00847736,0.0572687,0.992066,0.0,0.0,0.0,0.0,0
96936000,0.00801019,-0.0277382,-0.0175227,0.111755,0.00881742,0.0571941,0.992049,0.0,0.0,0.0,0.0,0
96944000,0.0156519,-0.0182708,-0.0176344,0.11183,0.0089155,0.0572235,0.992038,0.0,0.0,0.0,0.0,0
96960000,0.00943247,-0.0369638,-0.0172189,0.111979,0.00910278,0.0573308,0.992014,0.0,0.0,0.0,0.0,0
96968000,0.0104746,-0.0539538,-0.0168345,0.112056,0.00926776,0.0573483,0.992002,0.0,0.0,0.0,0.0,0
96984000,0.0233304,-0.154336,-0.0156573,0.11222,0.00987163,0.0573957,0.991975,0.0,0.0,0.0,0.0,0
96992000,0.0305086,-0.229762,-0.0152218,0.112321,0.0105812,0.0574205,0.991955,0.0,0.0,0.0,0.0,0
97008000,0.0228727,-0.307677,-0.0137696,0.112556,0.0126806,0.057412,0.991904,0.0,0.0,0.0,0.0,0
97016000,0.025785,-0.337745,-0.0128349,0.112681,0.0139408,0.0573622,0.991876,0.0,0.0,0.0,0.0,0
97032000,0.0342182,-0.363349,-0.0112496,0.112935,0.0167525,0.0572871,0.991808,0.0,0.0,0.0,0.0,0
97040000,0.0308066,-0.364433,-0.0103331,0.11306,0.0182087,0.0572559,0.99177,0.0,0.0,0.0,0.0,0
97056000,0.0256416,-0.357179,-0.0084144,0.113296,0.0210971,0.0571589,0.991691,0.0,0.0,0.0,0.0,0
97064000,0.0289597,-0.35681,-0.00764875,0.113408,0.0225238,0.0570996,0.991651,0.0,0.0,0.0,0.0,0
97080000,0.0412886,-0.34221,-0.00637916,0.113619,0.0253545,0.0570454,0.991561,0.0,0.0,0.0,0.0,0
97088000,0.0442293,-0.317881,-0.00602257,0.113716,0.026708,0.0570617,0.991514,0.0,0.0,0.0,0.0,0
97104000,0.0323523,-0.263211,-0.00435982,0.113885,0.029074,0.0571243,0.991424,0.0,0.0,0.0,0.0,0
97112000,0.0305963,-0.254675,-0.00376387,0.113958,0.030121,0.0571288,0.991384,0.0,0.0,0.0,0.0,0
97128000,0.0600219,-0.216722,-0.00292397,0.114087,0.0321084,0.0572446,0.9913,0.0,0.0,0.0,0.0,0
97136000,0.0511127,-0.186286,-0.00214341,0.114138,0.0329621,0.0573805,0.991259,0.0,0.0,0.0,0.0,0
97152000,0.0304889,-0.133094,-0.000691125,0.114215,0.0343066,0.057566,0.991193,0.0,0.0,0.0,0.0,0
97160000,0.0291642,-0.118837,-0.000273477,0.114242,0.0348284,0.0576265,0.991168,0.0,0.0,0.0,0.0,0
97176000,0.0193157,-0.0990882,0.000560881,0.114285,0.0357544,0.0577334,0.991124,0.0,0.0,0.0,0.0,0
97184000,0.0244507,-0.0735108,0.000650827,0.114301,0.0361326,0.05777,0.991107,0.0,0.0,0.0,0.0,0
97200000,0.0243589,-0.00883214,0.0018021,0.114307,0.036531,0.0579527,0.991081,0.0,0.0,0.0,0.0,0
97208000,0.0158124,-0.00370849,0.00200267,0.114297,0.036563,0.0580349,0.991076,0.0,0.0,0.0,0.0,0
97224000,0.0055714,-0.0115087,0.00211091,0.114282,0.0366626,0.0581267,0.991068,0.0,0.0,0.0,0.0,0
97232000,-5.40465e-05,0.0151926,0.00208323,0.114274,0.0366871,0.0581401,0.991068,0.0,0.0,0.0,0.0,0
97248000,-0.00611838,0.0621681,0.00273641,0.114239,0.0363817,0.0581581,0.991082,0.0,0.0,0.0,0.0,0
97256000,-0.012302,0.0585233,0.00256677,0.114216,0.0361337,0.0581539,0.991094,0.0,0.0,0.0,0.0,0
97272000,-0.0167047,0.0505912,0.00265434,0.114174,0.0357106,0.0580925,0.991118,0.0,0.0,0.0,0.0,0
97280000,-0.0166983,0.0825969,0.00292552,0.114153,0.0354769,0.05805,0.991131,0.0,0.0,0.0,0.0,0
97296000,-0.0160032,0.125104,0.00293116,0.114085,0.0346466,0.05802,0.99117,0.0,0.0,0.0,0.0,0
97304000,-0.0239891,0.114927,0.00329393,0.114047,0.0341442,0.058006,0.991193,0.0,0.0,0.0,0.0,0
97320000,-0.0319379,0.0958453,0.00370594,0.11398,0.0333252,0.0578614,0.991237,0.0,0.0,0.0,0.0,0
97328000,-0.0243088,0.115856,0.00333467,0.113946,0.0329124,0.0577871,0.991259,0.0,0.0,0.0,0.0,0
97344000,-0.0296008,0.121939,0.00401093,0.113868,0.0319241,0.057707,0.991305,0.0,0.0,0.0,0.0,0
97352000,-0.0317855,0.112236,0.00403136,0.113828,0.0314358,0.057639,0.991329,0.0,0.0,0.0,0.0,0
97368000,-0.0187113,0.109862,0.0035142,0.113757,0.0305686,0.0575171,0.991371,0.0,0.0,0.0,0.0,0
97376000,-0.0152547,0.131071,0.00358817,0.113718,0.0301056,0.057498,0.991391,0.0,0.0,0.0,0.0,0
97392000,-0.0236721,0.11598,0.00272294,0.113635,0.0290339,0.0574887,0.991433,0.0,0.0,0.0,0.0,0
97400000,-0.0237222,0.0899841,0.00284882,0.113602,0.0285923,0.0574405,0.991452,0.0,0.0,0.0,0.0,0
97416000,-0.011606,0.110928,0.00237913,0.113545,0.0278593,0.0573653,0.991484,0.0,0.0,0.0,0.0,0
97424000,-0.00952221,0.128904,0.00218311,0.11351,0.0273955,0.0573769,0.9915,0.0,0.0,0.0,0.0,0
97440000,-0.00518531,0.100147,0.00242238,0.113435,0.0263991,0.0574223,0.991533,0.0,0.0,0.0,0.0,0
97448000,-0.00350506,0.0800845,0.00268805,0.113405,0.0260258,0.0574496,0.991545,0.0,0.0,0.0,0.0,0
97464000,-0.0185654,0.101462,0.00286115,0.113346,0.0253441,0.0574447,0.99157,0.0,0.0,0.0,0.0,0
97472000,-0.00905747,0.110757,0.00287837,0.113312,0.0249207,0.0574245,0.991585,0.0,0.0,0.0,0.0,0
97488000,0.00745728,0.0889614,0.00269901,0.113241,0.0240747,0.0575277,0.991609,0.0,0.0,0.0,0.0,0
97496000,0.000143924,0.0612824,0.00250789,0.113211,0.0237507,0.0575863,0.991616,0.0,0.0,0.0,0.0,0
97512000,-0.000805419,0.0642738,0.00232049,0.113167,0.0233207,0.0576231,0.991629,0.0,0.0,0.0,0.0,0
97520000,0.00376006,0.0800804,0.00240363,0.113142,0.023047,0.0576541,0.991637,0.0,0.0,0.0,0.0,0
97536000,0.00676016,0.0465906,0.00229543,0.113088,0.0224763,0.0577735,0.991649,0.0,0.0,0.0,0.0,0
97544000,0.0043151,0.0269287,0.00226475,0.113069,0.0223181,0.0578147,0.991652,0.0,0.0,0.0,0.0,0
97560000,0.0114044,0.0478359,0.0020272,0.113037,0.0220884,0.0578927,0.991657,0.0,0.0,0.0,0.0,0
97568000,0.0139146,0.0625996,0.0022375,0.113016,0.0218861,0.0579636,0.99166,0.0,0.0,0.0,0.0,0
97584000,0.0287941,0.0455513,0.00229347,0.112967,0.0214208,0.0581663,0.991663,0.0,0.0,0.0,0.0,0
97592000,0.0335077,0.0243562,0.0022975,0.112946,0.0212777,0.0583062,0.991661,0.0,0.0,0.0,0.0,0
97608000,0.0173087,0.0329594,0.00217273,0.112912,0.0211162,0.0585426,0.991654,0.0,0.0,0.0,0.0,0
97616000,0.0158132,0.0363752,0.00232936,0.112894,0.0209882,0.0586236,0.991654,0.0,0.0,0.0,0.0,0
97632000,0.0294165,0.0330548,0.00260983,0.112855,0.0207212,0.0588181,0.991653,0.0,0.0,0.0,0.0,0
97640000,0.031489,0.0233532,0.00274178,0.112835,0.0206109,0.0589558,0.991649,0.0,0.0,0.0,0.0,0
