%timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
15352000,0.0,0.610865,-0.0358961,0.0,0.953563,0.00539679,0.300657,-0.0171164,0.0,0.0,-0.08,1,0,0,0,0,0
15448000,0.0,0.610865,-0.0361586,0.0,0.953561,0.00543625,0.300657,-0.0172416,0.0,0.0,-0.08,1,0,0,0,0,0
15556000,0.0,0.610865,-0.0360715,0.0,0.953562,0.00542317,0.300657,-0.0172001,0.0,0.0,-0.08,1,0,0,0,0,0
15652000,0.0,0.610865,-0.0363181,0.0,0.95356,0.00546023,0.300656,-0.0173176,0.0,0.0,-0.08,1,0,0,0,0,0
15752000,0.0,0.610865,-0.0362302,0.0,0.95356,0.00544701,0.300656,-0.0172757,0.0,0.0,-0.08,1,0,0,0,0,0
15848000,0.0,0.610865,-0.036263,0.0,0.95356,0.00545196,0.300656,-0.0172914,0.0,0.0,-0.08,1,0,0,0,0,0
15952000,0.0,0.610865,-0.0361968,0.0,0.953561,0.005442,0.300657,-0.0172598,0.0,0.0,-0.08,1,0,0,0,0,0
16052000,0.0,0.610865,-0.0359911,0.0,0.953563,0.00541107,0.300657,-0.0171617,0.0,0.0,-0.08,1,0,0,0,0,0
16152000,0.0,0.610865,-0.0358788,0.0,0.953563,0.0053942,0.300657,-0.0171082,0.0,0.0,-0.08,1,0,0,0,0,0
16252000,0.0,0.610865,-0.0357639,0.0,0.953564,0.00537692,0.300658,-0.0170534,0.0,0.0,-0.08,1,0,0,0,0,0
16356000,0.0,0.610865,-0.0354045,0.0,0.953568,0.0053229,0.300659,-0.0168821,0.0,0.0,-0.08,1,0,0,0,0,0
16452000,0.0,0.610865,-0.0356649,0.0,0.953565,0.00536204,0.300658,-0.0170062,0.0,0.0,-0.08,1,0,0,0,0,0
16548000,0.0,0.610865,-0.0356173,0.0,0.953566,0.00535488,0.300658,-0.0169835,0.0,0.0,-0.08,1,0,0,0,0,0
16656000,0.0,0.610865,-0.0352335,0.0,0.953569,0.00529718,0.300659,-0.0168005,0.0,0.0,-0.08,1,0,0,0,0,0
16748000,0.0,0.610865,-0.0353909,0.0,0.953568,0.00532085,0.300659,-0.0168756,0.0,0.0,-0.08,1,0,0,0,0,0
16856000,0.0,0.610865,-0.0356847,0.0,0.953565,0.00536502,0.300658,-0.0170157,0.0,0.0,-0.08,1,0,0,0,0,0
16952000,0.0,0.610865,-0.0358532,0.0,0.953564,0.00539034,0.300658,-0.017096,0.0,0.0,-0.08,1,0,0,0,0,0
17052000,0.0,0.610865,-0.0359478,0.0,0.953563,0.00540456,0.300657,-0.0171411,0.0,0.0,-0.08,1,0,0,0,0,0
17152000,0.0,0.610865,-0.035783,0.0,0.953564,0.00537979,0.300658,-0.0170625,0.0,0.0,-0.08,1,0,0,0,0,0
17256000,0.0,0.610865,-0.0360271,0.0,0.953562,0.00541649,0.300657,-0.0171789,0.0,0.0,-0.08,1,0,0,0,0,0
17356000,0.0,0.610865,-0.0357371,0.0,0.953565,0.00537289,0.300658,-0.0170406,0.0,0.0,-0.08,1,0,0,0,0,0
17452000,0.0,0.610865,-0.0360094,0.0,0.953562,0.00541383,0.300657,-0.0171705,0.0,0.0,-0.08,1,0,0,0,0,0
17552000,0.0,0.610865,-0.0359939,0.0,0.953562,0.0054115,0.300657,-0.0171631,0.0,0.0,-0.08,1,0,0,0,0,0
17652000,0.0,0.610865,-0.0359194,0.0,0.953563,0.0054003,0.300657,-0.0171276,0.0,0.0,-0.08,1,0,0,0,0,0
17752000,0.0,0.610865,-0.0354036,0.0,0.953568,0.00532276,0.300659,-0.0168816,0.0,0.0,-0.08,1,0,0,0,0,0
17852000,0.0,0.610865,-0.0356325,0.0,0.953566,0.00535717,0.300658,-0.0169908,0.0,0.0,-0.08,1,0,0,0,0,0
17952000,0.0,0.610865,-0.0357669,0.0,0.953564,0.00537737,0.300658,-0.0170548,0.0,0.0,-0.08,1,0,0,0,0,0
18056000,0.0,0.610865,-0.0356295,0.0,0.953566,0.00535671,0.300658,-0.0169893,0.0,0.0,-0.08,1,0,0,0,0,0
18152000,0.0,0.610865,-0.0357318,0.0,0.953565,0.0053721,0.300658,-0.0170381,0.0,0.0,-0.08,1,0,0,0,0,0
18248000,0.0,0.610865,-0.0360544,0.0,0.953562,0.00542059,0.300657,-0.0171919,0.0,0.0,-0.08,1,0,0,0,0,0
18356000,0.0,0.610865,-0.0364482,0.0,0.953559,0.00547979,0.300656,-0.0173797,0.0,0.0,-0.08,1,0,0,0,0,0
18452000,0.0,0.610865,-0.0363439,0.0,0.953559,0.00546411,0.300656,-0.0173299,0.0,0.0,-0.08,1,0,0,0,0,0
18548000,0.0,0.610865,-0.0362554,0.0,0.95356,0.00545081,0.300656,-0.0172878,0.0,0.0,-0.08,1,0,0,0,0,0
18656000,0.0,0.610865,-0.0364624,0.0,0.953558,0.00548193,0.300656,-0.0173864,0.0,0.0,-0.08,1,0,0,0,0,0
18748000,0.0,0.610865,-0.0363003,0.0,0.95356,0.00545755,0.300656,-0.0173091,0.0,0.0,-0.08,1,0,0,0,0,0
18852000,0.0,0.610865,-0.0365599,0.0,0.953558,0.00549658,0.300656,-0.0174329,0.0,0.0,-0.08,1,0,0,0,0,0
18952000,0.0,0.610865,-0.0366946,0.0,0.953556,0.00551684,0.300655,-0.0174972,0.0,0.0,-0.08,1,0,0,0,0,0
19052000,0.0,0.610865,-0.0364642,0.0,0.953558,0.0054822,0.300656,-0.0173873,0.0,0.0,-0.08,1,0,0,0,0,0
19156000,0.0,0.610865,-0.0365711,0.0,0.953557,0.00549826,0.300656,-0.0174383,0.0,0.0,-0.08,1,0,0,0,0,0
19252000,0.0,0.610865,-0.0360809,0.0,0.953562,0.00542457,0.300657,-0.0172045,0.0,0.0,-0.08,1,0,0,0,0,0
19352000,0.0,0.610865,-0.0366583,0.0,0.953557,0.00551138,0.300655,-0.0174799,0.0,0.0,-0.08,1,0,0,0,0,0
